Step,Time,Mean_Male_Trait_1,Mean_Male_Trait_2,Mean_Male_Trait_3,Mean_Female_Trait_1,Mean_Female_Trait_2,Mean_Female_Trait_3,Var_Male_Trait_1,Var_Male_Trait_2,Var_Male_Trait_3,Var_Female_Trait_1,Var_Female_Trait_2,Var_Female_Trait_3,Mean_Female_Pref_1,Mean_Female_Pref_2,Mean_Female_Pref_3,Trait_Pref_Gap_1,Trait_Pref_Gap_2,Trait_Pref_Gap_3,Male_Count,Female_Count,Mean_Male_Energy,Mean_Female_Energy,Avg_Age,Population_Count,Total_Food
38,38.0,0.48483431952662714,0.4563550295857989,0.46953254437869824,0.48860103626943,0.3948652849740933,0.4821865284974094,0.03519358201743636,0.04565014614334232,0.045401728230804246,0.03217518279685361,0.058265028483986146,0.04299716727965852,0.4584352331606218,0.3435492227979275,0.5563056994818653,0.026399086366005353,0.11280580678787139,0.08677315510316702,169,193,0.5658663086509359,0.5273056994818651,63.43370165745856,362,21
39,39.0,0.48289017341040463,0.4601387283236995,0.47061271676300576,0.4915989847715736,0.3913705583756345,0.48259390862944174,0.0338245948745364,0.04490521774867186,0.04528509278626081,0.032257925481202814,0.05900368502151563,0.042264708186245455,0.4623959390862945,0.34134010152284266,0.5563502538071066,0.020494234324110128,0.11879862680085684,0.08573753704410081,173,197,0.5650408341934613,0.5137563451776649,64.05135135135136,370,16
40,40.0,0.47536046511627905,0.45439534883720933,0.4658779069767442,0.49792500000000006,0.39045500000000005,0.48385000000000006,0.03219452122769065,0.046234553001622505,0.043831758349107616,0.032130309375,0.059098727974999994,0.0425788675,0.47167500000000007,0.34212000000000004,0.557575,0.0036854651162789853,0.1122753488372093,0.09169709302325585,172,200,0.5643803670642513,0.4999999999999998,63.723118279569896,372,18
41,41.0,0.47049438202247196,0.4584438202247191,0.4729662921348315,0.4984179104477612,0.38842288557213933,0.48492039800995024,0.03029495783360687,0.04585788729327105,0.044821414594116905,0.031499974604589,0.05918986594391228,0.042253157842627655,0.475363184079602,0.34739303482587064,0.5513432835820895,0.004868802057130028,0.11105078539884844,0.07837699144725802,178,201,0.545215395974183,0.4762686567164177,63.696569920844325,379,19
42,42.0,0.4746610169491525,0.4510790960451978,0.46811864406779663,0.4984558823529412,0.3916764705882353,0.4854705882352941,0.030701580005745476,0.0452025813144371,0.042732262759743365,0.031249630406574396,0.059573934544406,0.042163602076124566,0.4757892156862744,0.35085294117647065,0.5491911764705882,0.0011281987371218882,0.10022615486872716,0.08107253240279161,177,204,0.5427714091517799,0.46009803921568615,64.31496062992126,381,21
43,43.0,0.47425568181818184,0.4521590909090909,0.47427272727272723,0.5006666666666667,0.3892380952380952,0.4836428571428572,0.030080576672262396,0.04632321332644628,0.04215056198347107,0.0308374126984127,0.05885481950113379,0.04223966768707483,0.4764571428571429,0.34891428571428573,0.5489952380952381,0.0022014610389610723,0.10324480519480517,0.07472251082251086,176,210,0.5366718022652893,0.4494285714285713,65.0880829015544,386,21
44,44.0,0.47626589595375723,0.45356069364161844,0.4715202312138728,0.4979814814814815,0.39061574074074074,0.48050000000000004,0.029658842594139465,0.0461210324434495,0.040558110862374284,0.031086768175582993,0.05738863475222908,0.04254462962962963,0.47724074074074074,0.34691666666666665,0.5455925925925925,0.0009748447869835086,0.10664402697495179,0.0740723613787197,173,216,0.5277088274218823,0.4335185185185183,65.59383033419023,389,21
45,45.0,0.4740867052023121,0.4512601156069363,0.47478612716763,0.5008584474885844,0.3926347031963471,0.47973515981735165,0.029357639881051823,0.046651649102876794,0.04073412188846937,0.030710587268822587,0.056488469297971265,0.0420173545172119,0.48483105022831047,0.34869406392694063,0.548068493150685,0.010744345025998359,0.10256605167999566,0.07328236598305493,173,219,0.5181897889531932,0.42963470319634683,65.96173469387755,392,20
46,46.0,0.46895454545454546,0.45569886363636364,0.4766704545454546,0.5012237442922375,0.39500456621004565,0.4833515981735159,0.02765865702479339,0.04535390363507231,0.04030576639979339,0.030463360897395802,0.05619906390609038,0.04123339692666959,0.4849771689497717,0.34776255707762554,0.5517762557077626,0.016022623495226263,0.1079363065587381,0.07510580116230797,176,219,0.5170078310707652,0.4179452054794519,64.96455696202531,395,18
47,47.0,0.4730166666666667,0.44710000000000005,0.4751944444444444,0.49716894977168946,0.39292694063926936,0.4859132420091324,0.027548738611111113,0.04564990111111111,0.039005067746913584,0.029603720314422134,0.05620967502762662,0.04016853585204646,0.4900365296803652,0.3537397260273973,0.5552694063926941,0.01701986301369851,0.09336027397260277,0.08007496194824965,180,219,0.5016328789430509,0.40863013698630113,64.96491228070175,399,19
48,48.0,0.4748932584269662,0.43437078651685385,0.46707865168539336,0.49768396226415096,0.40322169811320757,0.4920566037735849,0.027608803212978157,0.04552364903421284,0.037277094937507894,0.029416206723923106,0.05677854990655037,0.03895369490922037,0.49307075471698114,0.36734905660377354,0.5603962264150943,0.018177496290014916,0.06702172991308031,0.09331757472970098,178,212,0.5138049418949946,0.4033018867924526,64.92564102564103,390,19
49,49.0,0.4749558011049724,0.4308287292817679,0.4688232044198894,0.5017061611374408,0.40299526066350716,0.4920995260663507,0.02755032953817038,0.046578164036506824,0.03578011238973169,0.028426416028391095,0.05549754974057186,0.03839641189550999,0.49022748815165884,0.3692985781990521,0.5612938388625592,0.015271687046686466,0.06153015108271581,0.09247063444266984,181,211,0.5007662095024088,0.40483412322274864,64.96683673469387,392,19
50,50.0,0.4785932203389831,0.4261864406779661,0.4684406779661016,0.5021961722488039,0.40173684210526317,0.4943684210526316,0.02698873848510964,0.046918095183376425,0.035229704108014945,0.028492138549941624,0.05561152404935785,0.037539036514731804,0.4958181818181818,0.3673732057416268,0.5543349282296651,0.01722496147919872,0.05881323493633933,0.08589425026356351,177,209,0.49492973422859593,0.41875598086124377,65.65284974093264,386,16
51,51.0,0.48078612716763,0.4203352601156069,0.46815606936416176,0.506975845410628,0.4047246376811594,0.494768115942029,0.02712854963413412,0.047645367369441013,0.035586732867787095,0.028954670914140352,0.055787059441293856,0.03706335685780298,0.49520289855072464,0.37116908212560384,0.5522125603864735,0.014416771383094662,0.04916617799000306,0.08405649102231172,173,207,0.4798049526728377,0.424734299516908,65.59210526315789,380,18
52,52.0,0.482829411764706,0.4234941176470588,0.4717235294117647,0.5056780487804877,0.4030829268292683,0.4959609756097561,0.027087365017301034,0.04782414408304497,0.03514104709342561,0.029113720737656158,0.05560047604997025,0.03641374481856038,0.49339999999999995,0.367980487804878,0.5571317073170732,0.010570588235293943,0.05551362984218078,0.08540817790530847,170,205,0.48625126882416064,0.4130731707317071,65.99466666666666,375,18
53,53.0,0.4802831325301205,0.4263614457831325,0.47065060240963863,0.5061961722488038,0.4085167464114832,0.49749760765550244,0.026584106582958338,0.048196459718391635,0.03462895021048047,0.028841181612142577,0.05421613488702181,0.03559887200384606,0.49625358851674645,0.3695502392344498,0.5573014354066985,0.015970455986625942,0.05681120654868271,0.08665083299705989,166,209,0.47972088737248825,0.4073684210526313,66.44,375,19
54,54.0,0.47845624999999997,0.4253625,0.47024375,0.5052761904761905,0.41404285714285716,0.4943238095238095,0.0270946480859375,0.047162168593750005,0.0342166593359375,0.029004618956916094,0.05270092673469388,0.03598877133786848,0.5002714285714286,0.37983333333333336,0.5527238095238095,0.021815178571428617,0.04552916666666662,0.08248005952380949,160,210,0.4803786893552499,0.4075714285714283,66.86486486486487,370,19
55,55.0,0.4745095541401275,0.4297006369426752,0.46411464968152855,0.5067843137254902,0.41498529411764695,0.49424999999999997,0.027520249908718406,0.047504757515517866,0.03415215246054607,0.02966000249903883,0.050819514489619376,0.03614520710784313,0.4948235294117648,0.3805931372549019,0.552828431372549,0.020313975271637252,0.04910749968777328,0.08871378169102045,157,204,0.47953554325566844,0.4148529411764703,66.71191135734072,361,18
56,56.0,0.475828025477707,0.4222101910828026,0.46124203821656046,0.5006813725490197,0.4155245098039215,0.4942009803921569,0.027741569150878335,0.04664670104263865,0.03336171211813867,0.03009963867262591,0.05042275920319108,0.03614322921472511,0.4889901960784313,0.38490196078431377,0.5557156862745098,0.013162170600724332,0.03730823029848884,0.09447364805794939,157,204,0.47097800296149434,0.40828431372549,67.09418282548476,361,18
57,57.0,0.47762580645161296,0.4240258064516129,0.46524516129032256,0.5023106796116504,0.41783009708737867,0.4973689320388349,0.02624465997918834,0.04717067030176899,0.03319618505723205,0.02880556367235366,0.04883694686115563,0.03500860175322839,0.49145631067961165,0.3822864077669903,0.5604029126213592,0.013830504227998697,0.04173939868462262,0.09515775133103666,155,206,0.47076936309973827,0.3984951456310677,66.87534626038781,361,19
58,58.0,0.47478523489932883,0.43200671140939595,0.4683221476510067,0.49623762376237623,0.42440099009900994,0.4992821782178217,0.026396329714877702,0.04813085230395027,0.034103842529615784,0.028423359376531714,0.04742745801882169,0.032299450078423685,0.4924257425742574,0.387539603960396,0.5607673267326733,0.017640507674928585,0.044467107448999954,0.09244517908166655,149,202,0.47386993433137814,0.40965346534653435,67.3076923076923,351,17
59,59.0,0.4724066666666667,0.43371999999999994,0.4629733333333333,0.4979904306220095,0.4293301435406699,0.4988947368421053,0.026836987955555554,0.048080148266666664,0.03453275928888889,0.028138698473020307,0.04660616373251527,0.031914802316796775,0.49527272727272725,0.39288995215311007,0.5610622009569378,0.022866060606060556,0.04083004784688987,0.09808886762360453,150,209,0.4600595483070444,0.3970334928229662,67.56824512534818,359,18
60,60.0,0.4745646258503401,0.4371836734693878,0.46214285714285713,0.5028300970873786,0.4276941747572815,0.49967961165048547,0.026623347864315795,0.04547059891711786,0.034725986394557824,0.02817920899707795,0.04655472685927042,0.03182564492412103,0.4956844660194174,0.3883932038834951,0.5658495145631068,0.02111984016907731,0.048790469585892726,0.1037066574202497,147,206,0.46535563531213714,0.3983009708737862,67.66005665722379,353,19
61,61.0,0.4795034013605442,0.4267006802721088,0.4643537414965987,0.5039154228855721,0.42714427860696513,0.5013432835820896,0.027083678559859315,0.0446723185709658,0.033230351057429774,0.02861139085666196,0.046006620974728345,0.031631210514591224,0.5048457711442786,0.3870597014925373,0.5629800995024876,0.025342369783734442,0.039640978779571456,0.09862635800588893,147,201,0.4915494221483007,0.3886069651741291,67.22988505747126,348,16
62,62.0,0.4750071942446044,0.4245467625899281,0.46234532374100723,0.503695,0.42818999999999996,0.5070650000000001,0.02533462584752342,0.043098665079447235,0.031503405931370014,0.028521081974999998,0.0468425039,0.030128930775000003,0.5097499999999999,0.390725,0.56446,0.03474280575539551,0.033821762589928084,0.10211467625899273,139,200,0.5069064690297419,0.38769999999999966,66.7551622418879,339,17
63,63.0,0.4753049645390071,0.4246879432624113,0.4566312056737589,0.5013366834170854,0.42686432160804016,0.5114974874371859,0.02277368713847392,0.0413505267340677,0.02784592072833358,0.02872140925734198,0.04698868008383626,0.029290008787656873,0.5071859296482412,0.38602010050251256,0.5669195979899497,0.03188096510923405,0.03866784275989876,0.11028839231619081,141,199,0.500771053794189,0.3813567839195977,66.8970588235294,340,18
